Appareil,Interface,Status,VLAN,Duplex,Speed,Type
RNET1,Embedded-Service-Engine0/0,administratively down,,,,
RNET1,GigabitEthernet0/0,up,,,,
RNET1,GigabitEthernet0/1,up,,,,
RNET1,GigabitEthernet0/2,administratively down,,,,
RNET1,Serial0/0/0,administratively down,,,,
RNET1,Serial0/0/1,administratively down,,,,
RNET1,NVI0,administratively down,,,,
SwCoeur,Vlan1,up,,,,🔹 VLAN
SwRDC,Vlan1,administratively down,,,,🔹 VLAN
SwE2,Vlan1,up,,,,🔹 VLAN
SwDMZ,Vlan1,up,,,,🔹 VLAN
SwCoeur,Vlan2,up,,,,🔹 VLAN
SwRDC,Vlan70,up,,,,🔹 VLAN
SwE2,Vlan10,up,,,,🔹 VLAN
RNET2,Embedded-Service-Engine0/0,administratively down,,,,
SwDMZ,FastEthernet0/1,up,1,a-full,a-100,10/100BaseTX
SwE1,Vlan1,administratively down,,,,🔹 VLAN
SwNET,Vlan1,up,,,,🔹 VLAN
SwCoeur,Vlan10,up,,,,🔹 VLAN
SwRDC,FastEthernet0/1,down,1,auto,auto,10/100BaseTX
SwE2,Vlan70,up,,,,🔹 VLAN
SwDMZ,FastEthernet0/2,up,1,a-full,a-100,10/100BaseTX
RNET2,GigabitEthernet0/0,up,,,,
SwNET,FastEthernet0,down,routed,auto,auto,10/100BaseTX
SwCoeur,Vlan20,up,,,,🔹 VLAN
SwE1,Vlan70,up,,,,🔹 VLAN
SwRDC,FastEthernet0/2,down,1,auto,auto,10/100BaseTX
SwE2,FastEthernet0,down,routed,auto,auto,10/100BaseTX
SwDMZ,FastEthernet0/3,up,1,a-full,a-100,10/100BaseTX
RNET2,GigabitEthernet0/1,up,,,,
SwNET,GigabitEthernet1/0/1,up,1,a-full,a-1000,10/100/1000BaseTX
SwCoeur,Vlan30,up,,,,🔹 VLAN
SwE1,FastEthernet0/1,down,10,auto,auto,10/100BaseTX
SwRDC,FastEthernet0/3,down,1,auto,auto,10/100BaseTX
SwDMZ,FastEthernet0/4,down,1,auto,auto,10/100BaseTX
RNET2,GigabitEthernet0/2,administratively down,,,,
SwNET,GigabitEthernet1/0/2,up,1,a-full,a-1000,10/100/1000BaseTX
SwCoeur,Vlan40,up,,,,🔹 VLAN
SwRDC,FastEthernet0/4,down,1,auto,auto,10/100BaseTX
RNET2,Serial0/0/0,administratively down,,,,
SwE1,FastEthernet0/2,down,10,auto,auto,10/100BaseTX
SwNET,GigabitEthernet1/0/3,down,1,auto,auto,10/100/1000BaseTX
SwDMZ,FastEthernet0/5,down,1,auto,auto,10/100BaseTX
SwNET,GigabitEthernet1/0/4,up,1,a-full,a-1000,10/100/1000BaseTX
SwRDC,FastEthernet0/5,down,1,auto,auto,10/100BaseTX
SwE2,GigabitEthernet1/0/1,up,trunk,a-full,a-1000,🧷 10/100/1000BaseTX
SwCoeur,Vlan50,up,,,,🔹 VLAN
SwE1,FastEthernet0/3,up,10,a-full,a-10,10/100BaseTX
SwRDC,FastEthernet0/6,down,1,auto,auto,10/100BaseTX
SwE2,GigabitEthernet1/0/2,administratively down,100,auto,auto,10/100/1000BaseTX
RNET2,Serial0/0/1,administratively down,,,,
SwNET,GigabitEthernet1/0/5,down,1,auto,auto,10/100/1000BaseTX
SwDMZ,FastEthernet0/6,down,1,auto,auto,10/100BaseTX
SwE1,FastEthernet0/4,down,10,auto,auto,10/100BaseTX
SwRDC,FastEthernet0/7,down,1,auto,auto,10/100BaseTX
RNET2,NVI0,administratively down,,,,
